player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
D. Anyembe,Viborg,"København - Viborg, 1 - 1",4,0,5,80.0,0.0
D. Anyembe,Viborg,"Randers - Viborg, 3 - 1",7,4,10,70.0,40.0
D. Anyembe,Viborg,"Silkeborg - Viborg, 3 - 2",2,1,2,100.0,50.0
D. Anyembe,Viborg,"SønderjyskE - Viborg, 2 - 2",3,0,4,75.0,0.0
D. Anyembe,Viborg,"Vejle - Viborg, 0 - 5",4,1,4,100.0,25.0
D. Anyembe,Viborg,"Viborg - AaB, 2 - 3",3,1,5,60.0,20.0
D. Anyembe,Viborg,"Viborg - Brøndby, 3 - 3",6,1,11,54.54545454545454,9.090909090909092
D. Anyembe,Viborg,"Viborg - Lyngby, 1 - 0",3,0,4,75.0,0.0
D. Anyembe,Viborg,"Viborg - Nordsjælland, 3 - 2",4,0,6,66.66666666666666,0.0
D. Castillo,Midtjylland,"AGF - Midtjylland, 1 - 1",3,1,9,33.33333333333333,11.11111111111111
D. Castillo,Midtjylland,"Lyngby - Midtjylland, 1 - 2",2,1,4,50.0,25.0
D. Castillo,Midtjylland,"Midtjylland - AaB, 2 - 0",0,0,2,0.0,0.0
D. Castillo,Midtjylland,"Midtjylland - København, 2 - 1",True,False,1,100.0,0.0
D. Castillo,Midtjylland,"Midtjylland - SønderjyskE, 3 - 2",1,1,4,25.0,25.0
D. Emmanouilidis,Vejle,"AGF - Vejle, 5 - 1",1,0,2,50.0,0.0
D. Emmanouilidis,Vejle,"Brøndby - Vejle, 2 - 1",1,0,3,33.33333333333333,0.0
D. Emmanouilidis,Vejle,"Lyngby - Vejle, 1 - 0",2,1,3,66.66666666666666,33.33333333333333
D. Emmanouilidis,Vejle,"Midtjylland - Vejle, 2 - 0",3,2,8,37.5,25.0
D. Emmanouilidis,Vejle,"Vejle - Nordsjælland, 0 - 1",False,False,1,0.0,0.0
D. Emmanouilidis,Vejle,"Vejle - Randers, 2 - 3",2,0,2,100.0,0.0
D. Emmanouilidis,Vejle,"Vejle - Silkeborg, 1 - 3",3,1,5,60.0,20.0
