id,player.name,matchId,player.id,team.name,matchId,pass.recipient.name,pass.accurate,label,date,minute,second,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,shot.xg,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.name,possession.attack.xg
2263460490,A. Lund Jørgensen,5605871,750795,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",11,20,,,,,duel,"['ground_duel', 'loss', 'offensive_duel']",64.0,65.0,,,,,,['transition_low'],4.0,3.0,14.0,51.0,64.0,65.0,Esbjerg U19,
2263459958,C. Storch,5605871,769069,AGF U19,5605871,R. Zwinge,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,6,,,,,interception,"['lateral_pass', 'loss', 'pass', 'progressive_pass', 'short_or_medium_pass']",9.0,64.0,22.0,97.0,,,,['transition_low'],1.0,0.0,9.0,64.0,22.0,97.0,AGF U19,
2263460511,R. Zwinge,5605871,766588,Esbjerg U19,5605871,S. Stefánsson,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,13,,,,,pass,"['cross', 'lateral_pass', 'loss', 'pass_to_penalty_area']",78.0,3.0,86.0,30.0,,,,['attack'],3.0,0.0,78.0,3.0,74.0,18.0,Esbjerg U19,0.0235
2263459959,S. Stefánsson,5605871,828104,AGF U19,5605871,M. Kruse,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,16,,,,,interception,"['forward_pass', 'loss', 'pass', 'progressive_pass', 'short_or_medium_pass']",14.0,70.0,26.0,82.0,,,,['attack'],3.0,1.0,78.0,3.0,74.0,18.0,Esbjerg U19,0.0235
2263460512,M. Kruse,5605871,765988,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,18,,,,,shot,['opportunity'],74.0,18.0,,,,,0.02354,['attack'],3.0,2.0,78.0,3.0,74.0,18.0,Esbjerg U19,0.0235
2263460515,R. Zwinge,5605871,766588,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,42,,,,,duel,"['loose_ball_duel', 'recovery']",57.0,33.0,,,,,,['transition_medium'],10.0,0.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263460516,E. Omerovic,5605871,679266,Esbjerg U19,5605871,A. Drexel,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,45,,,,,pass,"['back_pass', 'short_or_medium_pass']",43.0,49.0,12.0,55.0,,,,['transition_medium'],10.0,1.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263460517,A. Drexel,5605871,768987,Esbjerg U19,5605871,R. Zwinge,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,50,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",12.0,55.0,22.0,28.0,,,,['transition_medium'],10.0,2.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263460519,R. Zwinge,5605871,766588,Esbjerg U19,5605871,A. Drexel,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,53,,,,,pass,"['back_pass', 'short_or_medium_pass']",22.0,28.0,11.0,44.0,,,,['transition_medium'],10.0,3.0,57.0,33.0,67.0,58.0,Esbjerg U19,
2263460520,A. Drexel,5605871,768987,Esbjerg U19,5605871,E. Omerovic,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",12,54,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",11.0,44.0,12.0,73.0,,,,['transition_medium'],10.0,4.0,57.0,33.0,67.0,58.0,Esbjerg U19,
