PLAYER_WYID,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
0,"Sønderjyske U19 - Lyngby U19, 3 - 1",25,18,7,72.0,28.0
0,"Sønderjyske U19 - Midtjylland U19, 3 - 5",11,8,3,72.73,27.27
0,"Sønderjyske U19 - Nordsjælland U19, 3 - 4",16,11,5,68.75,31.25
0,"Sønderjyske U19 - Randers U19, 1 - 2",4,3,0,75.0,0.0
0,"Sønderjyske U19 - Silkeborg U19, 1 - 1 (P)",12,8,3,66.67,25.0
0,"Vejle U19 - AGF U19, 2 - 2 (P)",23,17,7,73.91,30.43
0,"Vejle U19 - AaB U19, 1 - 1",47,24,10,51.06,21.28
0,"Vejle U19 - Brøndby U19, 1 - 1",9,6,4,66.67,44.44
0,"Vejle U19 - Esbjerg U19, 4 - 4 (E)",19,11,4,57.89,21.05
0,"Vejle U19 - Horsens U19, 1 - 0",27,19,8,70.37,29.63
0,"Vejle U19 - København U19, 2 - 3",2,1,0,50.0,0.0
0,"Vejle U19 - Lyngby U19, 3 - 0",11,8,3,72.73,27.27
0,"Vejle U19 - Midtjylland U19, 1 - 5",33,26,13,78.79,39.39
0,"Vejle U19 - Nordsjælland U19, 1 - 0",36,28,9,77.78,25.0
0,"Vejle U19 - OB U19, 0 - 1",15,9,4,60.0,26.67
0,"Vejle U19 - Randers U19, 3 - 2",11,6,3,54.55,27.27
0,"Vejle U19 - Silkeborg U19, 0 - 1",13,10,3,76.92,23.08
0,"Vejle U19 - Sønderjyske U19, 1 - 3",41,26,12,63.41,29.27
620381,"AGF U19 - Randers U19, 5 - 2",6,4,2,66.67,33.33
620381,"Nordsjælland U19 - Randers U19, 2 - 0",2,1,0,50.0,0.0
620381,"Randers U19 - AGF U19, 3 - 2",1,0,0,0.0,0.0
620381,"Randers U19 - Horsens U19, 2 - 1",4,1,1,25.0,25.0
620381,"Randers U19 - OB U19, 1 - 5",4,4,1,100.0,25.0
624657,"Esbjerg U19 - Vejle U19, 1 - 1 (E)",7,6,4,85.71,57.14
624657,"Horsens U19 - Vejle U19, 3 - 1",3,3,1,100.0,33.33
624657,"OB U19 - Vejle U19, 4 - 0",8,6,3,75.0,37.5
624657,"Randers U19 - Vejle U19, 0 - 1",8,6,1,75.0,12.5
624657,"Silkeborg U19 - Vejle U19, 1 - 1 (P)",3,1,2,33.33,66.67
624657,"Vejle U19 - AGF U19, 2 - 2 (P)",17,7,3,41.18,17.65
624657,"Vejle U19 - AaB U19, 1 - 1",8,2,2,25.0,25.0
624657,"Vejle U19 - Brøndby U19, 1 - 1",3,2,1,66.67,33.33
624657,"Vejle U19 - København U19, 2 - 3",16,14,4,87.5,25.0
624657,"Vejle U19 - Midtjylland U19, 1 - 5",5,4,3,80.0,60.0
624657,"Vejle U19 - Nordsjælland U19, 1 - 0",2,1,1,50.0,50.0
624674,"AGF U19 - Vejle U19, 1 - 3",12,10,5,83.33,41.67
624674,"AaB U19 - Vejle U19, 1 - 1",5,3,2,60.0,40.0
624674,"Brøndby U19 - Vejle U19, 2 - 1",4,0,0,0.0,0.0
624674,"Horsens U19 - Vejle U19, 3 - 1",3,3,1,100.0,33.33
624674,"København U19 - Vejle U19, 2 - 2",4,4,2,100.0,50.0
624674,"Lyngby U19 - Vejle U19, 0 - 1",10,7,3,70.0,30.0
624674,"Midtjylland U19 - Vejle U19, 2 - 1",3,2,1,66.67,33.33
624674,"OB U19 - Vejle U19, 4 - 0",2,1,1,50.0,50.0
624674,"Randers U19 - Vejle U19, 0 - 1",5,3,1,60.0,20.0
624674,"Silkeborg U19 - Vejle U19, 1 - 1 (P)",7,5,1,71.43,14.29
624674,"SønderjyskE U19 - Vejle U19, 2 - 3",5,2,0,40.0,0.0
624674,"Vejle U19 - AGF U19, 2 - 2 (P)",6,3,2,50.0,33.33
624674,"Vejle U19 - AaB U19, 1 - 1",5,3,2,60.0,40.0
624674,"Vejle U19 - Brøndby U19, 1 - 1",2,1,1,50.0,50.0
624674,"Vejle U19 - Esbjerg U19, 4 - 4 (E)",2,1,0,50.0,0.0
624674,"Vejle U19 - Horsens U19, 1 - 0",3,3,1,100.0,33.33
624674,"Vejle U19 - København U19, 2 - 3",5,3,1,60.0,20.0
624674,"Vejle U19 - Lyngby U19, 3 - 0",4,3,1,75.0,25.0
624674,"Vejle U19 - Midtjylland U19, 1 - 5",7,7,0,100.0,0.0
624674,"Vejle U19 - Nordsjælland U19, 1 - 0",2,1,0,50.0,0.0
624674,"Vejle U19 - OB U19, 0 - 1",9,8,4,88.89,44.44
624674,"Vejle U19 - Randers U19, 3 - 2",4,3,1,75.0,25.0
624674,"Vejle U19 - Silkeborg U19, 0 - 1",2,1,0,50.0,0.0
624674,"Vejle U19 - Sønderjyske U19, 1 - 3",1,1,0,100.0,0.0
624679,"AGF U19 - Silkeborg U19, 1 - 1 (P)",7,4,0,57.14,0.0
