player.name,team.name,label,pass.recipient.name,date,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,penalty_area_entry
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",D. Svensson,"July 27, 2024 at 4:00:00 PM GMT+2",95.0,12.0,89.0,34.0,,,True
A. Şimşir,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",E. Martínez,"July 27, 2024 at 4:00:00 PM GMT+2",89.0,13.0,85.0,25.0,,,True
A. Şimşir,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",81.0,11.0,,,88.0,26.0,True
Franculino Djú,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",L. Hey,"July 27, 2024 at 4:00:00 PM GMT+2",81.0,68.0,95.0,70.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",72.0,17.0,,,96.0,28.0,True
E. Chilufya,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",86.0,13.0,,,92.0,25.0,True
A. Şimşir,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",93.0,11.0,,,99.0,36.0,True
V. Bak Jensen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",79.0,16.0,,,94.0,20.0,True
M. Ingvartsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",J. Juninho,"July 27, 2024 at 4:00:00 PM GMT+2",89.0,5.0,90.0,40.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",C. Harder,"July 27, 2024 at 4:00:00 PM GMT+2",90.0,5.0,87.0,43.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",K. Hansen,"July 27, 2024 at 4:00:00 PM GMT+2",90.0,82.0,91.0,44.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",K. Askildsen,"July 27, 2024 at 4:00:00 PM GMT+2",77.0,100.0,87.0,65.0,,,True
A. Şimşir,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",92.0,14.0,,,99.0,27.0,True
K. Askildsen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",K. Hansen,"July 27, 2024 at 4:00:00 PM GMT+2",76.0,18.0,92.0,36.0,,,True
O. Antman,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",P. Ankersen,"July 27, 2024 at 4:00:00 PM GMT+2",77.0,52.0,87.0,74.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",P. Ankersen,"July 27, 2024 at 4:00:00 PM GMT+2",85.0,87.0,90.0,36.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",L. Hey,"July 27, 2024 at 4:00:00 PM GMT+2",100.0,0.0,92.0,54.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",56.0,7.0,,,90.0,27.0,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",C. Harder,"July 27, 2024 at 4:00:00 PM GMT+2",84.0,8.0,86.0,43.0,,,True
Franculino Djú,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",O. Villadsen,"July 27, 2024 at 4:00:00 PM GMT+2",73.0,54.0,88.0,65.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",E. Ólafsson,"July 27, 2024 at 4:00:00 PM GMT+2",84.0,13.0,94.0,50.0,,,True
O. Sørensen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",70.0,37.0,,,88.0,22.0,True
K. Askildsen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",75.0,32.0,100.0,34.0,,,True
V. Bak Jensen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",A. Hansen,"July 27, 2024 at 4:00:00 PM GMT+2",86.0,17.0,95.0,52.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",M. Ingvartsen,"July 27, 2024 at 4:00:00 PM GMT+2",91.0,13.0,88.0,35.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",A. Rømer,"July 27, 2024 at 4:00:00 PM GMT+2",92.0,13.0,92.0,41.0,,,True
O. Sørensen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",68.0,39.0,90.0,67.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",J. Juninho,"July 27, 2024 at 4:00:00 PM GMT+2",76.0,100.0,90.0,65.0,,,True
M. Ingvartsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",E. Ólafsson,"July 27, 2024 at 4:00:00 PM GMT+2",55.0,12.0,85.0,47.0,,,True
C. Harder,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",M. Ingvartsen,"July 27, 2024 at 4:00:00 PM GMT+2",72.0,24.0,86.0,39.0,,,True
A. Rømer,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",76.0,73.0,,,86.0,68.0,True
A. Şimşir,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",96.0,18.0,,,90.0,24.0,True
O. Villadsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",O. Diao,"July 27, 2024 at 4:00:00 PM GMT+2",64.0,10.0,85.0,29.0,,,True
O. Sørensen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",O. Diao,"July 27, 2024 at 4:00:00 PM GMT+2",100.0,100.0,93.0,63.0,,,True
E. Martínez,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",J. Juninho,"July 27, 2024 at 4:00:00 PM GMT+2",87.0,12.0,93.0,67.0,,,True
O. Sørensen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",M. Ingvartsen,"July 27, 2024 at 4:00:00 PM GMT+2",100.0,100.0,87.0,38.0,,,True
V. Byskov,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",J. Tverskov,"July 27, 2024 at 4:00:00 PM GMT+2",77.0,12.0,88.0,48.0,,,True
A. Rømer,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",P. Ankersen,"July 27, 2024 at 4:00:00 PM GMT+2",70.0,31.0,92.0,75.0,,,True
D. Osorio,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",Z. Sertdemir,"July 27, 2024 at 4:00:00 PM GMT+2",98.0,88.0,89.0,48.0,,,True
D. Svensson,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",O. Villadsen,"July 27, 2024 at 4:00:00 PM GMT+2",68.0,20.0,92.0,24.0,,,True
L. Nene,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",P. Ankersen,"July 27, 2024 at 4:00:00 PM GMT+2",76.0,61.0,91.0,72.0,,,True
P. Ankersen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",J. Juninho,"July 27, 2024 at 4:00:00 PM GMT+2",86.0,100.0,89.0,66.0,,,True
D. Osorio,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",O. Brynhildsen,"July 27, 2024 at 4:00:00 PM GMT+2",79.0,51.0,94.0,34.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",93.0,90.0,100.0,52.0,,,True
M. Ingvartsen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",76.0,24.0,,,92.0,21.0,True
K. Hansen,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",M. Ingvartsen,"July 27, 2024 at 4:00:00 PM GMT+2",59.0,77.0,88.0,40.0,,,True
Z. Sertdemir,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",64.0,58.0,100.0,31.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",Z. Sertdemir,"July 27, 2024 at 4:00:00 PM GMT+2",96.0,85.0,89.0,44.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",O. Diao,"July 27, 2024 at 4:00:00 PM GMT+2",68.0,28.0,89.0,55.0,,,True
J. Andersson,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",79.0,0.0,93.0,28.0,,,True
O. Brynhildsen,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",,"July 27, 2024 at 4:00:00 PM GMT+2",80.0,30.0,,,89.0,33.0,True
K. Davidsen,AaB,"AaB - Silkeborg, 2 - 1",N. Larsen,"July 28, 2024 at 4:00:00 PM GMT+2",54.0,33.0,89.0,34.0,,,True
J. Iredale,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",78.0,57.0,,,90.0,64.0,True
M. Widell,AaB,"AaB - Silkeborg, 2 - 1",K. Jørgensen,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,100.0,90.0,66.0,,,True
A. Klynge,Silkeborg,"AaB - Silkeborg, 2 - 1",T. Adamsen,"July 28, 2024 at 4:00:00 PM GMT+2",68.0,58.0,87.0,74.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",S. Otoa,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,100.0,95.0,47.0,,,True
M. Brink,Silkeborg,"AaB - Silkeborg, 2 - 1",R. Østrøm,"July 28, 2024 at 4:00:00 PM GMT+2",75.0,8.0,84.0,19.0,,,True
K. Davidsen,AaB,"AaB - Silkeborg, 2 - 1",J. Iredale,"July 28, 2024 at 4:00:00 PM GMT+2",58.0,87.0,89.0,33.0,,,True
M. Widell,AaB,"AaB - Silkeborg, 2 - 1",M. Jørgensen,"July 28, 2024 at 4:00:00 PM GMT+2",75.0,66.0,87.0,76.0,,,True
A. Lind,Silkeborg,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",76.0,26.0,,,98.0,41.0,True
,Silkeborg,"AaB - Silkeborg, 2 - 1",T. Adamsen,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,0.0,93.0,59.0,,,True
M. Brink,Silkeborg,"AaB - Silkeborg, 2 - 1",K. Davidsen,"July 28, 2024 at 4:00:00 PM GMT+2",57.0,87.0,88.0,62.0,,,True
M. Jørgensen,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",75.0,69.0,,,86.0,67.0,True
L. Kramer,AaB,"AaB - Silkeborg, 2 - 1",N. Larsen,"July 28, 2024 at 4:00:00 PM GMT+2",25.0,68.0,86.0,51.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",R. Østrøm,"July 28, 2024 at 4:00:00 PM GMT+2",70.0,36.0,90.0,22.0,,,True
A. Klynge,Silkeborg,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,0.0,97.0,43.0,,,True
J. Iredale,AaB,"AaB - Silkeborg, 2 - 1",N. Arnórsson,"July 28, 2024 at 4:00:00 PM GMT+2",71.0,40.0,97.0,22.0,,,True
O. Sonne,Silkeborg,"AaB - Silkeborg, 2 - 1",R. Østrøm,"July 28, 2024 at 4:00:00 PM GMT+2",86.0,96.0,93.0,30.0,,,True
J. Andersen,Silkeborg,"AaB - Silkeborg, 2 - 1",A. Klynge,"July 28, 2024 at 4:00:00 PM GMT+2",85.0,16.0,86.0,30.0,,,True
O. Sonne,Silkeborg,"AaB - Silkeborg, 2 - 1",S. Otoa,"July 28, 2024 at 4:00:00 PM GMT+2",94.0,92.0,91.0,58.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",S. Otoa,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,100.0,93.0,42.0,,,True
A. Klynge,Silkeborg,"AaB - Silkeborg, 2 - 1",K. Jørgensen,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,0.0,98.0,44.0,,,True
O. Sonne,Silkeborg,"AaB - Silkeborg, 2 - 1",J. Andersen,"July 28, 2024 at 4:00:00 PM GMT+2",78.0,81.0,92.0,33.0,,,True
A. Klynge,Silkeborg,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,0.0,100.0,46.0,,,True
M. Widell,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",79.0,17.0,100.0,74.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",86.0,83.0,,,95.0,72.0,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",Pedro Ganchas,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,100.0,97.0,57.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",Pedro Ganchas,"July 28, 2024 at 4:00:00 PM GMT+2",91.0,85.0,98.0,51.0,,,True
J. Andersen,Silkeborg,"AaB - Silkeborg, 2 - 1",T. Adamsen,"July 28, 2024 at 4:00:00 PM GMT+2",73.0,26.0,91.0,71.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",R. Østrøm,"July 28, 2024 at 4:00:00 PM GMT+2",68.0,78.0,90.0,28.0,,,True
J. Andersen,Silkeborg,"AaB - Silkeborg, 2 - 1",O. Sonne,"July 28, 2024 at 4:00:00 PM GMT+2",69.0,23.0,96.0,73.0,,,True
O. Sonne,Silkeborg,"AaB - Silkeborg, 2 - 1",L. Kramer,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,89.0,95.0,56.0,,,True
M. Jørgensen,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",75.0,25.0,,,87.0,24.0,True
R. Orazov,Silkeborg,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",75.0,15.0,,,91.0,29.0,True
A. Jasson,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",89.0,17.0,100.0,51.0,,,True
M. Larsen,Silkeborg,"AaB - Silkeborg, 2 - 1",V. Müller,"July 28, 2024 at 4:00:00 PM GMT+2",39.0,81.0,91.0,68.0,,,True
M. Widell,AaB,"AaB - Silkeborg, 2 - 1",A. Jasson,"July 28, 2024 at 4:00:00 PM GMT+2",84.0,16.0,94.0,23.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",A. Lind,"July 28, 2024 at 4:00:00 PM GMT+2",66.0,51.0,86.0,35.0,,,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",R. Østrøm,"July 28, 2024 at 4:00:00 PM GMT+2",69.0,55.0,90.0,31.0,,,True
M. Widell,AaB,"AaB - Silkeborg, 2 - 1",P. Rödin,"July 28, 2024 at 4:00:00 PM GMT+2",73.0,21.0,88.0,43.0,,,True
O. Sonne,Silkeborg,"AaB - Silkeborg, 2 - 1",V. Müller,"July 28, 2024 at 4:00:00 PM GMT+2",92.0,89.0,96.0,44.0,,,True
M. Jørgensen,AaB,"AaB - Silkeborg, 2 - 1",N. Larsen,"July 28, 2024 at 4:00:00 PM GMT+2",76.0,82.0,95.0,53.0,,,True
A. Jasson,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",82.0,37.0,,,87.0,30.0,True
A. Jasson,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",96.0,14.0,,,94.0,21.0,True
M. Larsen,Silkeborg,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",81.0,66.0,,,91.0,71.0,True
T. Adamsen,Silkeborg,"AaB - Silkeborg, 2 - 1",K. Jørgensen,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,100.0,96.0,57.0,,,True
M. Larsen,Silkeborg,"AaB - Silkeborg, 2 - 1",J. Nielsen,"July 28, 2024 at 4:00:00 PM GMT+2",70.0,79.0,96.0,76.0,,,True
M. Brink,Silkeborg,"AaB - Silkeborg, 2 - 1",M. Larsen,"July 28, 2024 at 4:00:00 PM GMT+2",87.0,91.0,94.0,74.0,,,True
,Silkeborg,"AaB - Silkeborg, 2 - 1",Pedro Ganchas,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,100.0,93.0,61.0,,,True
M. Nielsen,AaB,"AaB - Silkeborg, 2 - 1",M. Widell,"July 28, 2024 at 4:00:00 PM GMT+2",81.0,0.0,91.0,19.0,,,True
M. Brink,Silkeborg,"AaB - Silkeborg, 2 - 1",V. Müller,"July 28, 2024 at 4:00:00 PM GMT+2",71.0,21.0,95.0,48.0,,,True
M. Widell,AaB,"AaB - Silkeborg, 2 - 1",A. Jasson,"July 28, 2024 at 4:00:00 PM GMT+2",89.0,16.0,88.0,28.0,,,True
M. Højholt,AaB,"AaB - Silkeborg, 2 - 1",M. Freundlich,"July 28, 2024 at 4:00:00 PM GMT+2",76.0,23.0,89.0,61.0,,,True
M. Jiménez,AaB,"AaB - Silkeborg, 2 - 1",J. Iredale,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,100.0,94.0,64.0,,,True
K. Jørgensen,AaB,"AaB - Silkeborg, 2 - 1",M. Brink,"July 28, 2024 at 4:00:00 PM GMT+2",74.0,14.0,92.0,29.0,,,True
M. Jiménez,AaB,"AaB - Silkeborg, 2 - 1",J. Nielsen,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,0.0,86.0,49.0,,,True
K. Jørgensen,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",67.0,43.0,91.0,36.0,,,True
K. Jørgensen,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",81.0,85.0,,,97.0,75.0,True
M. Nielsen,AaB,"AaB - Silkeborg, 2 - 1",O. Sonne,"July 28, 2024 at 4:00:00 PM GMT+2",91.0,0.0,94.0,27.0,,,True
A. Jasson,AaB,"AaB - Silkeborg, 2 - 1",K. John,"July 28, 2024 at 4:00:00 PM GMT+2",66.0,71.0,98.0,33.0,,,True
J. Nielsen,Silkeborg,"AaB - Silkeborg, 2 - 1",R. Østrøm,"July 28, 2024 at 4:00:00 PM GMT+2",90.0,84.0,87.0,36.0,,,True
M. Jørgensen,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",76.0,42.0,,,93.0,33.0,True
A. Jasson,AaB,"AaB - Silkeborg, 2 - 1",,"July 28, 2024 at 4:00:00 PM GMT+2",100.0,0.0,93.0,48.0,,,True
J. Nielsen,Silkeborg,"AaB - Silkeborg, 2 - 1",J. Gammelby,"July 28, 2024 at 4:00:00 PM GMT+2",88.0,92.0,88.0,40.0,,,True
R. Østrøm,Silkeborg,"AaB - Silkeborg, 2 - 1",L. Kramer,"July 28, 2024 at 4:00:00 PM GMT+2",76.0,27.0,87.0,28.0,,,True
M. Brink,Silkeborg,"AaB - Silkeborg, 2 - 1",O. Sonne,"July 28, 2024 at 4:00:00 PM GMT+2",61.0,41.0,91.0,71.0,,,True
O. Sonne,Silkeborg,"AaB - Silkeborg, 2 - 1",J. Gammelby,"July 28, 2024 at 4:00:00 PM GMT+2",89.0,89.0,88.0,42.0,,,True
M. Jiménez,AaB,"AaB - Silkeborg, 2 - 1",J. Iredale,"July 28, 2024 at 4:00:00 PM GMT+2",56.0,17.0,90.0,22.0,,,True
M. Larsen,Silkeborg,"AaB - Silkeborg, 2 - 1",J. Nielsen,"July 28, 2024 at 4:00:00 PM GMT+2",75.0,76.0,90.0,70.0,,,True
Diogo Gonçalves,København,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",71.0,30.0,,,86.0,33.0,True
M. Emil Madsen,AGF,"København - AGF, 3 - 2",N. Trott,"July 28, 2024 at 6:00:00 PM GMT+2",59.0,20.0,88.0,65.0,,,True
V. Claesson,København,"København - AGF, 3 - 2",J. Larsson,"July 28, 2024 at 6:00:00 PM GMT+2",80.0,51.0,93.0,65.0,,,True
M. Elyounoussi,København,"København - AGF, 3 - 2",F. Tingager,"July 28, 2024 at 6:00:00 PM GMT+2",95.0,16.0,90.0,33.0,,,True
K. Diks,København,"København - AGF, 3 - 2",O. Óskarsson,"July 28, 2024 at 6:00:00 PM GMT+2",32.0,76.0,86.0,71.0,,,True
M. Elyounoussi,København,"København - AGF, 3 - 2",E. Kahl,"July 28, 2024 at 6:00:00 PM GMT+2",78.0,19.0,92.0,56.0,,,True
Diogo Gonçalves,København,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",80.0,30.0,,,92.0,29.0,True
Diogo Gonçalves,København,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",75.0,61.0,85.0,65.0,,,True
M. Anderson,AGF,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",96.0,96.0,,,99.0,72.0,True
M. Elyounoussi,København,"København - AGF, 3 - 2",V. Claesson,"July 28, 2024 at 6:00:00 PM GMT+2",91.0,15.0,92.0,44.0,,,True
M. Elyounoussi,København,"København - AGF, 3 - 2",O. Óskarsson,"July 28, 2024 at 6:00:00 PM GMT+2",75.0,18.0,85.0,49.0,,,True
V. Claesson,København,"København - AGF, 3 - 2",M. Elyounoussi,"July 28, 2024 at 6:00:00 PM GMT+2",100.0,0.0,94.0,46.0,,,True
M. Anderson,AGF,"København - AGF, 3 - 2",K. Diks,"July 28, 2024 at 6:00:00 PM GMT+2",81.0,90.0,93.0,50.0,,,True
V. Claesson,København,"København - AGF, 3 - 2",M. Elyounoussi,"July 28, 2024 at 6:00:00 PM GMT+2",68.0,59.0,88.0,26.0,,,True
B. Meling,København,"København - AGF, 3 - 2",J. Hansen,"July 28, 2024 at 6:00:00 PM GMT+2",36.0,8.0,90.0,31.0,,,True
V. Claesson,København,"København - AGF, 3 - 2",O. Óskarsson,"July 28, 2024 at 6:00:00 PM GMT+2",82.0,54.0,93.0,63.0,,,True
M. Anderson,AGF,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",83.0,83.0,,,98.0,75.0,True
J. Larsson,København,"København - AGF, 3 - 2",R. Huescas,"July 28, 2024 at 6:00:00 PM GMT+2",73.0,95.0,97.0,75.0,,,True
B. Meling,København,"København - AGF, 3 - 2",R. Huescas,"July 28, 2024 at 6:00:00 PM GMT+2",70.0,18.0,93.0,58.0,,,True
H. Dalsgaard,AGF,"København - AGF, 3 - 2",N. Trott,"July 28, 2024 at 6:00:00 PM GMT+2",77.0,71.0,94.0,60.0,,,True
M. Anderson,AGF,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",72.0,89.0,,,90.0,64.0,True
F. Beijmo,AGF,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",100.0,0.0,94.0,39.0,,,True
F. Beijmo,AGF,"København - AGF, 3 - 2",O. Óskarsson,"July 28, 2024 at 6:00:00 PM GMT+2",92.0,17.0,94.0,59.0,,,True
M. Elyounoussi,København,"København - AGF, 3 - 2",J. Larsson,"July 28, 2024 at 6:00:00 PM GMT+2",70.0,44.0,87.0,70.0,,,True
H. Dalsgaard,AGF,"København - AGF, 3 - 2",G. Links,"July 28, 2024 at 6:00:00 PM GMT+2",39.0,67.0,87.0,31.0,,,True
R. Huescas,København,"København - AGF, 3 - 2",H. Dalsgaard,"July 28, 2024 at 6:00:00 PM GMT+2",58.0,90.0,91.0,67.0,,,True
E. Kahl,AGF,"København - AGF, 3 - 2",K. Diks,"July 28, 2024 at 6:00:00 PM GMT+2",31.0,8.0,84.0,24.0,,,True
J. Hansen,AGF,"København - AGF, 3 - 2",P. Mortensen,"July 28, 2024 at 6:00:00 PM GMT+2",31.0,74.0,85.0,66.0,,,True
R. Falk,København,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",71.0,73.0,90.0,70.0,,,True
M. Elyounoussi,København,"København - AGF, 3 - 2",F. Tingager,"July 28, 2024 at 6:00:00 PM GMT+2",71.0,21.0,86.0,48.0,,,True
G. Links,AGF,"København - AGF, 3 - 2",N. Trott,"July 28, 2024 at 6:00:00 PM GMT+2",71.0,35.0,95.0,50.0,,,True
M. Elyounoussi,København,"København - AGF, 3 - 2",F. Tingager,"July 28, 2024 at 6:00:00 PM GMT+2",72.0,8.0,88.0,31.0,,,True
G. Links,AGF,"København - AGF, 3 - 2",V. Claesson,"July 28, 2024 at 6:00:00 PM GMT+2",78.0,7.0,97.0,51.0,,,True
F. Beijmo,AGF,"København - AGF, 3 - 2",F. Tingager,"July 28, 2024 at 6:00:00 PM GMT+2",100.0,0.0,98.0,43.0,,,True
F. Beijmo,AGF,"København - AGF, 3 - 2",F. Tingager,"July 28, 2024 at 6:00:00 PM GMT+2",100.0,0.0,96.0,51.0,,,True
J. Larsson,København,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",69.0,77.0,,,93.0,68.0,True
R. Huescas,København,"København - AGF, 3 - 2",F. Brandhof,"July 28, 2024 at 6:00:00 PM GMT+2",97.0,95.0,91.0,60.0,,,True
B. Meling,København,"København - AGF, 3 - 2",F. Tingager,"July 28, 2024 at 6:00:00 PM GMT+2",87.0,17.0,94.0,52.0,,,True
R. Huescas,København,"København - AGF, 3 - 2",H. Dalsgaard,"July 28, 2024 at 6:00:00 PM GMT+2",95.0,86.0,92.0,55.0,,,True
M. Mattsson,København,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",81.0,96.0,100.0,58.0,,,True
N. Trott,København,"København - AGF, 3 - 2",M. Elyounoussi,"July 28, 2024 at 6:00:00 PM GMT+2",20.0,50.0,88.0,28.0,,,True
B. Meling,København,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",73.0,23.0,,,90.0,27.0,True
F. Brandhof,AGF,"København - AGF, 3 - 2",,"July 28, 2024 at 6:00:00 PM GMT+2",70.0,23.0,100.0,26.0,,,True
G. Links,AGF,"København - AGF, 3 - 2",N. Trott,"July 28, 2024 at 6:00:00 PM GMT+2",100.0,100.0,95.0,44.0,,,True
R. Huescas,København,"København - AGF, 3 - 2",F. Tingager,"July 28, 2024 at 6:00:00 PM GMT+2",78.0,93.0,91.0,58.0,71.0,92.0,True
O. Óskarsson,København,"København - AGF, 3 - 2",J. Hansen,"July 28, 2024 at 6:00:00 PM GMT+2",76.0,38.0,93.0,41.0,,,True
M. Emil Madsen,AGF,"København - AGF, 3 - 2",N. Trott,"July 28, 2024 at 6:00:00 PM GMT+2",55.0,16.0,91.0,26.0,,,True
V. Froholdt,København,"København - AGF, 3 - 2",F. Beijmo,"July 28, 2024 at 6:00:00 PM GMT+2",83.0,28.0,89.0,19.0,,,True
B. Meling,København,"København - AGF, 3 - 2",V. Froholdt,"July 28, 2024 at 6:00:00 PM GMT+2",75.0,17.0,86.0,20.0,,,True
